volume,execution_time,id,provider,score_obtained,score_max,status,ai_answer,correct_answer,error,grading_token,label,latency,mismatches,system_prompt,type,tac_id,model_id
1,2026-01-03 10:41:08,Q1-1,Gemini,3,3,PERFECT,"{""debit"":[{""account"":""売上"",""amount"":72000}],""credit"":[{""account"":""売掛金"",""amount"":72000}]}","[{""debit"":[{""account"":""売上"",""amount"":72000}],""credit"":[{""account"":""売掛金"",""amount"":72000}]}]",,,第1問 (1) 仕訳問題 - 返品処理,11430,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade3_volume1,gemini-3-pro-preview
1,2026-01-03 10:50:32,Q1-1,Gemini,3,3,PERFECT,"{""debit"":[{""account"":""売上"",""amount"":72000}],""credit"":[{""account"":""売掛金"",""amount"":72000}]}","[{""debit"":[{""account"":""売上"",""amount"":72000}],""credit"":[{""account"":""売掛金"",""amount"":72000}]}]",,,第1問 (1) 仕訳問題 - 返品処理,11118,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade3_volume1,gemini-3-pro-preview
1,2026-01-03 11:22:09,Q1-1,Gemini,3,3,PERFECT,"{""debit"":[{""account"":""売上"",""amount"":72000}],""credit"":[{""account"":""売掛金"",""amount"":72000}]}","[{""debit"":[{""account"":""売上"",""amount"":72000}],""credit"":[{""account"":""売掛金"",""amount"":72000}]}]",,,第1問 (1) 仕訳問題 - 返品処理,7908,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade3_volume1,gemini-3-pro-preview
1,2026-01-03 10:41:08,Q1-1,OpenAI,3,3,PERFECT,"{""debit"":[{""account"":""売上"",""amount"":72000}],""credit"":[{""account"":""売掛金"",""amount"":72000}]}","[{""debit"":[{""account"":""売上"",""amount"":72000}],""credit"":[{""account"":""売掛金"",""amount"":72000}]}]",,,第1問 (1) 仕訳問題 - 返品処理,1248,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade3_volume1,gpt-5.2
1,2026-01-03 10:50:32,Q1-1,OpenAI,3,3,PERFECT,"{""debit"":[{""account"":""売上"",""amount"":72000}],""credit"":[{""account"":""売掛金"",""amount"":72000}]}","[{""debit"":[{""account"":""売上"",""amount"":72000}],""credit"":[{""account"":""売掛金"",""amount"":72000}]}]",,,第1問 (1) 仕訳問題 - 返品処理,982,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade3_volume1,gpt-5.2
1,2026-01-03 11:22:09,Q1-1,OpenAI,3,3,PERFECT,"{""debit"":[{""account"":""売上"",""amount"":72000}],""credit"":[{""account"":""売掛金"",""amount"":72000}]}","[{""debit"":[{""account"":""売上"",""amount"":72000}],""credit"":[{""account"":""売掛金"",""amount"":72000}]}]",,,第1問 (1) 仕訳問題 - 返品処理,1158,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade3_volume1,gpt-5.2
1,2026-01-03 10:41:08,Q1-10,Gemini,3,3,PERFECT,"{""debit"":[{""account"":""現金"",""amount"":2000}],""credit"":[{""account"":""現金過不足"",""amount"":2000}]}","[{""debit"":[{""account"":""現金"",""amount"":2000}],""credit"":[{""account"":""現金過不足"",""amount"":2000}]}]",,,第1問 (10) 仕訳問題 - 現金過不足,13315,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade3_volume1,gemini-3-pro-preview
1,2026-01-03 10:50:32,Q1-10,Gemini,3,3,PERFECT,"{""debit"":[{""account"":""現金"",""amount"":2000}],""credit"":[{""account"":""現金過不足"",""amount"":2000}]}","[{""debit"":[{""account"":""現金"",""amount"":2000}],""credit"":[{""account"":""現金過不足"",""amount"":2000}]}]",,,第1問 (10) 仕訳問題 - 現金過不足,9295,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade3_volume1,gemini-3-pro-preview
1,2026-01-03 11:22:09,Q1-10,Gemini,3,3,PERFECT,"{""debit"":[{""account"":""現金"",""amount"":2000}],""credit"":[{""account"":""現金過不足"",""amount"":2000}]}","[{""debit"":[{""account"":""現金"",""amount"":2000}],""credit"":[{""account"":""現金過不足"",""amount"":2000}]}]",,,第1問 (10) 仕訳問題 - 現金過不足,13584,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade3_volume1,gemini-3-pro-preview
1,2026-01-03 10:41:08,Q1-10,OpenAI,3,3,PERFECT,"{""debit"":[{""account"":""現金"",""amount"":2000}],""credit"":[{""account"":""現金過不足"",""amount"":2000}]}","[{""debit"":[{""account"":""現金"",""amount"":2000}],""credit"":[{""account"":""現金過不足"",""amount"":2000}]}]",,,第1問 (10) 仕訳問題 - 現金過不足,2025,[],あなたは日商簿記3級の受験者です。問題文と指定されたフォーマットに従い、正確に解答してください。リスト形式やネストされた構造の回答が求められる場合は、必要な行数を生成して入力してください。,JOURNAL,grade3_volume1,gpt-5.2
